PING 10.1.0.65 (10.1.0.65) 56(84) bytes of data.
64 bytes from 10.1.0.65: icmp_seq=44 ttl=64 time=1.04 ms
64 bytes from 10.1.0.65: icmp_seq=45 ttl=64 time=1.02 ms
64 bytes from 10.1.0.65: icmp_seq=46 ttl=64 time=1.07 ms
64 bytes from 10.1.0.65: icmp_seq=47 ttl=64 time=1.07 ms
64 bytes from 10.1.0.65: icmp_seq=48 ttl=64 time=1.01 ms
64 bytes from 10.1.0.65: icmp_seq=49 ttl=64 time=1.04 ms
64 bytes from 10.1.0.65: icmp_seq=50 ttl=64 time=1.05 ms

--- 10.1.0.65 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 49062ms
rtt min/avg/max/mdev = 0.982/1.035/1.126/0.053 ms
PING 10.1.1.114 (10.1.1.114) 56(84) bytes of data.
64 bytes from 10.1.1.114: icmp_seq=1 ttl=64 time=0.015 ms
64 bytes from 10.1.1.114: icmp_seq=2 ttl=64 time=0.040 ms
64 bytes from 10.1.1.114: icmp_seq=3 ttl=64 time=0.030 ms
64 bytes from 10.1.1.114: icmp_seq=4 ttl=64 time=0.038 ms
64 bytes from 10.1.1.114: icmp_seq=5 ttl=64 time=0.029 ms
64 bytes from 10.1.1.114: icmp_seq=6 ttl=64 time=0.041 ms
64 bytes from 10.1.1.114: icmp_seq=7 ttl=64 time=0.043 ms
64 bytes from 10.1.1.114: icmp_seq=8 ttl=64 time=0.033 ms
64 bytes from 10.1.1.114: icmp_seq=9 ttl=64 time=0.029 ms
64 bytes from 10.1.1.114: icmp_seq=10 ttl=64 time=0.026 ms
64 bytes from 10.1.1.114: icmp_seq=11 ttl=64 time=0.029 ms
64 bytes from 10.1.1.114: icmp_seq=12 ttl=64 time=0.041 ms
64 bytes from 10.1.1.114: icmp_seq=13 ttl=64 time=0.027 ms
64 bytes from 10.1.1.114: icmp_seq=14 ttl=64 time=0.049 ms
64 bytes from 10.1.1.114: icmp_seq=15 ttl=64 time=0.032 ms
64 bytes from 10.1.1.114: icmp_seq=16 ttl=64 time=0.029 ms
64 bytes from 10.1.1.114: icmp_seq=17 ttl=64 time=0.029 ms
64 bytes from 10.1.1.114: icmp_seq=18 ttl=64 time=0.030 ms
64 bytes from 10.1.1.114: icmp_seq=19 ttl=64 time=0.030 ms
64 bytes from 10.1.1.114: icmp_seq=20 ttl=64 time=0.032 ms
64 bytes from 10.1.1.114: icmp_seq=21 ttl=64 time=0.028 ms
64 bytes from 10.1.1.114: icmp_seq=22 ttl=64 time=0.040 ms
64 bytes from 10.1.1.114: icmp_seq=23 ttl=64 time=0.038 ms
64 bytes from 10.1.1.114: icmp_seq=24 ttl=64 time=0.039 ms
64 bytes from 10.1.1.114: icmp_seq=25 ttl=64 time=0.030 ms
64 bytes from 10.1.1.114: icmp_seq=26 ttl=64 time=0.032 ms
64 bytes from 10.1.1.114: icmp_seq=27 ttl=64 time=0.029 ms
64 bytes from 10.1.1.114: icmp_seq=28 ttl=64 time=0.038 ms
64 bytes from 10.1.1.114: icmp_seq=29 ttl=64 time=0.030 ms
64 bytes from 10.1.1.114: icmp_seq=30 ttl=64 time=0.039 ms
64 bytes from 10.1.1.114: icmp_seq=31 ttl=64 time=0.028 ms
64 bytes from 10.1.1.114: icmp_seq=32 ttl=64 time=0.029 ms
64 bytes from 10.1.1.114: icmp_seq=33 ttl=64 time=0.028 ms
64 bytes from 10.1.1.114: icmp_seq=34 ttl=64 time=0.027 ms
64 bytes from 10.1.1.114: icmp_seq=35 ttl=64 time=0.030 ms
64 bytes from 10.1.1.114: icmp_seq=36 ttl=64 time=0.039 ms
64 bytes from 10.1.1.114: icmp_seq=37 ttl=64 time=0.030 ms
64 bytes from 10.1.1.114: icmp_seq=38 ttl=64 time=0.028 ms
64 bytes from 10.1.1.114: icmp_seq=39 ttl=64 time=0.029 ms
64 bytes from 10.1.1.114: icmp_seq=40 ttl=64 time=0.041 ms
64 bytes from 10.1.1.114: icmp_seq=41 ttl=64 time=0.040 ms
64 bytes from 10.1.1.114: icmp_seq=42 ttl=64 time=0.037 ms
64 bytes from 10.1.1.114: icmp_seq=43 ttl=64 time=0.041 ms
64 bytes from 10.1.1.114: icmp_seq=44 ttl=64 time=0.040 ms
64 bytes from 10.1.1.114: icmp_seq=45 ttl=64 time=0.030 ms
64 bytes from 10.1.1.114: icmp_seq=46 ttl=64 time=0.030 ms
64 bytes from 10.1.1.114: icmp_seq=47 ttl=64 time=0.042 ms
64 bytes from 10.1.1.114: icmp_seq=48 ttl=64 time=0.039 ms
64 bytes from 10.1.1.114: icmp_seq=49 ttl=64 time=0.030 ms
64 bytes from 10.1.1.114: icmp_seq=50 ttl=64 time=0.029 ms

--- 10.1.1.114 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 50153ms
rtt min/avg/max/mdev = 0.015/0.033/0.049/0.007 ms
PING 10.1.2.247 (10.1.2.247) 56(84) bytes of data.
64 bytes from 10.1.2.247: icmp_seq=1 ttl=64 time=1.44 ms
64 bytes from 10.1.2.247: icmp_seq=2 ttl=64 time=1.38 ms
64 bytes from 10.1.2.247: icmp_seq=3 ttl=64 time=1.39 ms
64 bytes from 10.1.2.247: icmp_seq=4 ttl=64 time=1.46 ms
64 bytes from 10.1.2.247: icmp_seq=5 ttl=64 time=1.37 ms
64 bytes from 10.1.2.247: icmp_seq=6 ttl=64 time=1.26 ms
64 bytes from 10.1.2.247: icmp_seq=7 ttl=64 time=1.26 ms
64 bytes from 10.1.2.247: icmp_seq=8 ttl=64 time=1.42 ms
64 bytes from 10.1.2.247: icmp_seq=9 ttl=64 time=1.35 ms
64 bytes from 10.1.2.247: icmp_seq=10 ttl=64 time=1.27 ms
64 bytes from 10.1.2.247: icmp_seq=11 ttl=64 time=1.33 ms
64 bytes from 10.1.2.247: icmp_seq=12 ttl=64 time=1.39 ms
64 bytes from 10.1.2.247: icmp_seq=13 ttl=64 time=1.36 ms
64 bytes from 10.1.2.247: icmp_seq=14 ttl=64 time=1.30 ms
64 bytes from 10.1.2.247: icmp_seq=15 ttl=64 time=1.30 ms
64 bytes from 10.1.2.247: icmp_seq=16 ttl=64 time=1.37 ms
64 bytes from 10.1.2.247: icmp_seq=17 ttl=64 time=1.44 ms
64 bytes from 10.1.2.247: icmp_seq=18 ttl=64 time=1.40 ms
64 bytes from 10.1.2.247: icmp_seq=19 ttl=64 time=1.43 ms
64 bytes from 10.1.2.247: icmp_seq=20 ttl=64 time=1.39 ms
64 bytes from 10.1.2.247: icmp_seq=21 ttl=64 time=1.34 ms
64 bytes from 10.1.2.247: icmp_seq=22 ttl=64 time=1.37 ms
64 bytes from 10.1.2.247: icmp_seq=23 ttl=64 time=1.34 ms
64 bytes from 10.1.2.247: icmp_seq=24 ttl=64 time=1.33 ms
64 bytes from 10.1.2.247: icmp_seq=25 ttl=64 time=1.25 ms
64 bytes from 10.1.2.247: icmp_seq=26 ttl=64 time=1.29 ms
64 bytes from 10.1.2.247: icmp_seq=27 ttl=64 time=1.44 ms
64 bytes from 10.1.2.247: icmp_seq=28 ttl=64 time=1.38 ms
64 bytes from 10.1.2.247: icmp_seq=29 ttl=64 time=1.37 ms
64 bytes from 10.1.2.247: icmp_seq=30 ttl=64 time=1.32 ms
64 bytes from 10.1.2.247: icmp_seq=31 ttl=64 time=1.33 ms
64 bytes from 10.1.2.247: icmp_seq=32 ttl=64 time=1.37 ms
64 bytes from 10.1.2.247: icmp_seq=33 ttl=64 time=1.32 ms
64 bytes from 10.1.2.247: icmp_seq=34 ttl=64 time=1.40 ms
64 bytes from 10.1.2.247: icmp_seq=35 ttl=64 time=1.30 ms
64 bytes from 10.1.2.247: icmp_seq=36 ttl=64 time=1.33 ms
64 bytes from 10.1.2.247: icmp_seq=37 ttl=64 time=1.43 ms
64 bytes from 10.1.2.247: icmp_seq=38 ttl=64 time=1.36 ms
64 bytes from 10.1.2.247: icmp_seq=39 ttl=64 time=1.35 ms
64 bytes from 10.1.2.247: icmp_seq=40 ttl=64 time=1.37 ms
64 bytes from 10.1.2.247: icmp_seq=41 ttl=64 time=1.34 ms
64 bytes from 10.1.2.247: icmp_seq=42 ttl=64 time=1.31 ms
64 bytes from 10.1.2.247: icmp_seq=43 ttl=64 time=1.36 ms
64 bytes from 10.1.2.247: icmp_seq=44 ttl=64 time=1.34 ms
64 bytes from 10.1.2.247: icmp_seq=45 ttl=64 time=1.41 ms
64 bytes from 10.1.2.247: icmp_seq=46 ttl=64 time=1.41 ms
64 bytes from 10.1.2.247: icmp_seq=47 ttl=64 time=1.35 ms
64 bytes from 10.1.2.247: icmp_seq=48 ttl=64 time=1.32 ms
64 bytes from 10.1.2.247: icmp_seq=49 ttl=64 time=1.36 ms
64 bytes from 10.1.2.247: icmp_seq=50 ttl=64 time=1.36 ms

--- 10.1.2.247 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 49077ms
rtt min/avg/max/mdev = 1.258/1.361/1.462/0.063 ms
# From 3.8.17.167 in eu-west-2b to 10.1.2.247
